angDist,_RAJ2000,_DEJ2000,RAJ2000,DEJ2000,rmag,USNO-B1.0,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Bmag1,Rmag1,Bmag2,Rmag2,Imag,Epoch,pmRA,pmDE,e_pmRA,e_pmDE,Flags,B1s/g,R1s/g,B2s/g,R2s/g,Is/g
4.040781,188.288625,43.2352917,12 33 09.27,+43 14 07.05,19.37,1332-00267453,188.287642,+43.236156,1.019,0.581,90,20.65,19.19,,,,1957.3,0,0,0,0,...,8,1,,,
0.140094,189.3495,5.4415,12 37 23.88,+05 26 29.40,19.33,0954-00213934,189.349539,+5.441498,1.019,1.019,90,,19.33,,16.02,,1976.2,0,0,0,0,...,,4,,1,
0.129019,189.4725833,12.92625,12 37 53.42,+12 55 34.50,17.29,1029-00250132,189.472620,+12.926248,1.019,1.019,90,23.34,17.29,,19.21,,1967.8,16,306,59,44,...,8,8,,8,
0.082225,189.5895,42.7525472,12 38 21.48,+42 45 09.17,19.26,1327-00292027,189.589470,+42.752553,1.019,1.019,90,,19.26,,17.89,18.80,1981.8,-260,554,146,99,..Y,,2,,9,
0.071061,190.5460833,16.1486194,12 42 11.06,+16 08 55.03,13.57,1061-00204308,190.546103,+16.148625,1.019,1.019,90,,13.57,,17.84,,1973.7,0,0,0,0,...,,2,,8,
1.612300,190.5460833,16.1486194,12 42 11.06,+16 08 55.03,13.57,1061-00204309,190.546281,+16.149025,1.019,1.019,90,,16.21,,17.91,,1973.7,0,0,0,0,...,,2,,2,
0.028010,193.4434167,27.3524306,12 53 46.42,+27 21 08.75,18.13,1173-00253761,193.443425,+27.352428,1.019,1.019,90,,18.13,,19.23,,1971.7,0,0,0,0,...,,2,,2,
0.076003,193.4970833,62.2836694,12 53 59.30,+62 17 01.21,19.22,1522-00249923,193.497128,+62.283673,0.656,0.533,90,,19.22,,18.82,,1976.3,0,0,0,0,...,,2,,5,
2.015241,193.4970833,62.2836694,12 53 59.30,+62 17 01.21,19.22,1522-00249925,193.498281,+62.283614,1.019,0.382,90,,19.06,,18.92,,1976.3,0,0,0,0,...,,7,,2,
0.020886,197.0687083,18.7802194,13 08 16.49,+18 46 48.79,19.1,1087-00212421,197.068714,+18.780217,0.911,0.911,90,,19.10,,19.00,,1972.2,0,0,0,0,...,,9,,7,
0.137862,202.6555833,15.0721389,13 30 37.34,+15 04 19.70,19.32,1050-00220685,202.655623,+15.072139,1.019,1.019,90,,19.32,,18.61,,1972.3,0,0,0,0,...,,8,,1,
0.060307,202.7257083,2.5021611,13 30 54.17,+02 30 07.78,19.05,0925-00298786,202.725725,+2.502159,1.019,0.970,0,,19.05,,19.48,,1976.7,0,0,0,0,...,,5,,1,
1.067591,202.7257083,2.5021611,13 30 54.17,+02 30 07.78,19.05,0925-00298787,202.726003,+2.502125,1.019,0.510,0,,18.56,,19.48,,1976.7,0,0,0,0,...,,4,,8,
4.654205,202.7257083,2.5021611,13 30 54.17,+02 30 07.78,19.05,0925-00298788,202.726945,+2.502542,1.019,0.926,0,,18.40,,19.91,,1976.7,0,0,0,0,...,,2,,4,
0.015712,203.0072917,12.1720306,13 32 01.75,+12 10 19.31,14.64,1021-00258559,203.007289,+12.172034,1.019,1.019,90,,14.64,,17.69,,1974.3,0,0,0,0,...,,9,,1,
0.176427,206.3732083,27.7367389,13 45 29.57,+27 44 12.26,19.36,1177-00291410,206.373153,+27.736737,1.019,0.205,0,,19.36,,18.97,,1973.4,0,0,0,0,...,,9,,8,
0.196051,208.7554167,8.1784889,13 55 01.30,+08 10 42.56,19.36,0981-00275146,208.755362,+8.178495,1.019,0.867,0,20.98,19.36,,18.26,,1965.9,22,-432,21,32,...,2,3,,1,
0.060148,208.7762917,11.1962111,13 55 06.31,+11 11 46.36,17.51,1011-00224006,208.776275,+11.196214,1.019,1.019,90,,17.51,,18.98,,1973.8,0,0,0,0,...,,8,,1,
0.062974,212.6585,26.0092917,14 10 38.04,+26 00 33.45,19.02,1160-00214232,212.658481,+26.009295,0.646,0.583,0,,19.02,,19.47,,1973.3,0,0,0,0,...,,9,,2,
0.718770,212.6585,26.0092917,14 10 38.04,+26 00 33.45,19.02,1160-00214233,212.658562,+26.009100,1.019,0.202,90,,19.32,,18.93,,1973.3,0,0,0,0,...,,2,,2,
