,RA_table,DEC_table,r(mag)_table,ID_USNO,RA_USNO,DEC_USNO,r1(mag)_USNO,r2(mag)_USNO,dd,dr,USNOmatch?,pm?,pm,pm_RA,pm_DEC,e_pm_RA,e_pm_DEC,new_RA,new_DEC,e_new_RA,e_new_DEC
63,188.288625,43.2352917,19.37,1332-00267455,188.288617,43.235292,19.37,19.46,0.021276,0.0,yes,0,0.0,0,0,0,0,188.288617,43.235292,0.0,0.0
64,189.3495,5.4415,19.33,0954-00213934,189.349539,5.441498,19.33,16.02,0.140094,0.0,yes,0,0.0,0,0,0,0,189.349539,5.441498,0.0,0.0
65,189.4725833,12.92625,17.29,1029-00250132,189.47262,12.926248,17.29,19.21,0.129019,0.0,yes,1,306.41801513618617,16,306,59,44,189.4729311111111,12.932198,4.13,3.08
66,189.5895,42.7525472,19.26,1327-00292027,189.58947,42.752553,19.26,17.89,0.082225,0.0,yes,1,611.9771237554554,-260,554,146,99,189.58441444444446,42.76332522222222,10.22,6.93
67,190.5460833,16.1486194,13.57,1061-00204308,190.546103,16.148625,13.57,17.84,0.071061,0.0,yes,0,0.0,0,0,0,0,190.546103,16.148625,0.0,0.0
68,193.4434167,27.3524306,18.13,1173-00253761,193.443425,27.352428,18.13,19.23,0.02801,0.0,yes,0,0.0,0,0,0,0,193.443425,27.352428,0.0,0.0
69,193.4970833,62.2836694,19.22,1522-00249923,193.497128,62.283673,19.22,18.82,0.076003,0.0,yes,0,0.0,0,0,0,0,193.497128,62.283673,0.0,0.0
70,197.0687083,18.7802194,19.1,1087-00212421,197.068714,18.780217,19.1,19.0,0.020886,0.0,yes,0,0.0,0,0,0,0,197.068714,18.780217,0.0,0.0
71,202.6555833,15.0721389,19.32,1050-00220685,202.655623,15.072139,19.32,18.61,0.137862,0.0,yes,0,0.0,0,0,0,0,202.655623,15.072139,0.0,0.0
72,202.7257083,2.5021611,19.05,0925-00298786,202.725725,2.502159,19.05,19.48,0.060307,0.0,yes,0,0.0,0,0,0,0,202.725725,2.502159,0.0,0.0
73,203.0072917,12.1720306,14.64,1021-00258559,203.007289,12.172034,14.64,17.69,0.015712,0.0,yes,0,0.0,0,0,0,0,203.007289,12.172034,0.0,0.0
74,206.3732083,27.7367389,19.36,1177-00291410,206.373153,27.736737,19.36,18.97,0.176427,0.0,yes,0,0.0,0,0,0,0,206.373153,27.736737,0.0,0.0
75,208.7554167,8.1784889,19.36,0981-00275146,208.755362,8.178495,19.36,18.26,0.196051,0.0,yes,1,432.5598224523401,22,-432,21,32,208.75578977777778,8.170095,1.47,2.24
76,208.7762917,11.1962111,17.51,1011-00224006,208.776275,11.196214,17.51,18.98,0.060148,0.0,yes,0,0.0,0,0,0,0,208.776275,11.196214,0.0,0.0
77,212.6585,26.0092917,19.02,1160-00214232,212.658481,26.009295,19.02,19.47,0.062974,0.0,yes,0,0.0,0,0,0,0,212.658481,26.009295,0.0,0.0
78,212.9317917,26.8275194,18.1,1168-00245801,212.931809,26.827517,18.1,19.35,0.056063,0.0,yes,1,334.3411431457397,222,-250,73,72,212.93612566666664,26.82265588888889,5.11,5.04
79,212.9885833,12.5638306,18.66,1025-00274182,212.988631,12.563828,18.66,17.26,0.167906,0.0,yes,0,0.0,0,0,0,0,212.988631,12.563828,0.0,0.0
80,215.7102083,44.3590389,18.9,1343-00269430,215.710228,44.359037,18.9,19.44,0.051059,0.0,yes,1,277.7048793233565,-208,-184,5,9,215.70618355555555,44.35545922222222,0.35,0.63
81,216.3462917,32.8987083,19.23,1228-00294957,216.346342,32.898712,19.23,18.7,0.152897,0.0,yes,0,0.0,0,0,0,0,216.346342,32.898712,0.0,0.0
82,221.5037917,32.2126194,19.39,1222-00305081,221.50382,32.212617,19.39,17.94,0.086442,0.0,yes,0,0.0,0,0,0,0,221.50382,32.212617,0.0,0.0
83,222.4482083,62.5784611,19.47,1525-00257216,222.44815,62.578462,19.47,19.25,0.096845,0.0,yes,0,0.0,0,0,0,0,222.44815,62.578462,0.0,0.0
84,226.116375,62.3900611,18.11,1523-00271731,226.116437,62.390059,18.11,18.74,0.10365,0.0,yes,0,0.0,0,0,0,0,226.116437,62.390059,0.0,0.0
85,228.031,51.1100194,18.83,1411-00249570,228.030978,51.110023,18.83,18.44,0.051483,0.0,yes,0,0.0,0,0,0,0,228.030978,51.110023,0.0,0.0
86,230.629,24.6683306,17.62,1146-00226194,230.628959,24.668331,17.62,19.08,0.134333,0.0,yes,1,706.5550226273959,212,674,46,121,230.63308122222224,24.681436555555553,3.22,8.47
87,232.422625,22.9717194,16.18,1129-00279272,232.422612,22.971723,16.18,16.93,0.045108,0.0,yes,0,0.0,0,0,0,0,232.422612,22.971723,0.0,0.0
88,234.631,43.0347111,17.57,1330-00312032,234.630975,43.034712,17.57,19.31,0.065836,0.0,yes,0,0.0,0,0,0,0,234.630975,43.034712,0.0,0.0
89,235.2699167,9.0151389,16.49,0990-00256119,235.269937,9.015137,16.49,19.43,0.072651,0.0,yes,0,0.0,0,0,0,0,235.269937,9.015137,0.0,0.0
90,237.2295,62.41455,19.25,1524-00268204,237.229462,62.414553,19.25,18.4,0.064441,0.0,yes,0,0.0,0,0,0,0,237.229462,62.414553,0.0,0.0
91,242.4382917,38.5801889,18.85,1285-00259040,242.438298,38.580195,18.85,18.6,0.028061,0.0,yes,0,0.0,0,0,0,0,242.438298,38.580195,0.0,0.0
92,242.505,61.5197917,17.79,1515-00220866,242.505006,61.519787,17.79,19.4,0.020017,0.0,yes,0,0.0,0,0,0,0,242.505006,61.519787,0.0,0.0
93,246.0012917,61.3500722,18.21,1513-00221489,246.001339,61.350075,18.21,19.01,0.082194,0.0,yes,0,0.0,0,0,0,0,246.001339,61.350075,0.0,0.0
94,248.6082917,34.0734583,17.4,1240-00243592,248.608259,34.073459,17.4,19.49,0.097657,0.0,yes,0,0.0,0,0,0,0,248.608259,34.073459,0.0,0.0
95,260.1452083,44.00315,19.49,1340-00289064,260.145242,44.00315,19.49,19.28,0.087203,0.0,yes,0,0.0,0,0,0,0,260.145242,44.00315,0.0,0.0
96,261.4359167,73.9027111,19.39,1639-00099553,261.435853,73.902706,19.39,15.3,0.06615,0.0,yes,0,0.0,0,0,0,0,261.435853,73.902706,0.0,0.0
97,277.7421667,40.9000389,18.55,1309-00305148,277.742217,40.900045,18.55,19.37,0.138813,0.0,yes,0,0.0,0,0,0,0,277.742217,40.900045,0.0,0.0
98,283.3742083,77.9168167,17.23,1679-00098454,283.374209,77.91682,17.23,19.4,0.012067,0.0,yes,0,0.0,0,0,0,0,283.374209,77.91682,0.0,0.0
